firstname,lastname,dob,phonenumber
Sadiq ,Kole,1987,7032101055
Umar,Kole,2027,8067675443
Ibrahim Sani,Musa,1987,9032101055
Sale,Abubakar,1987,7035343221
Jibrin,Ibrahim,2020,7034353535
Sadiq ,Kole,1987,7032101055
Umar,Kole,2027,8067675443
Ibrahim Sani,Musa,1987,9032101055
Sale,Abubakar,1987,7035343221
Jibrin,Ibrahim,2020,7034353535
Sadiq ,Kole,1987,7032101055
Umar,Kole,2027,8067675443
Ibrahim Sani,Musa,1987,9032101055
Sale,Abubakar,1987,7035343221
Jibrin,Ibrahim,2020,7034353535
Sadiq ,Kole,1987,7032101055
Umar,Kole,2027,8067675443
Ibrahim Sani,Musa,1987,9032101055
Sale,Abubakar,1987,7035343221
Jibrin,Ibrahim,2020,7034353535
